fecha,clave,tienda,nombre,precio,disponible,url
2026-08-12 10:15,Caja 36 · First Partner · CHINO,Metamorph Center,First Partner Display Set - Squirtle - Chino,"27,90 €",False,https://metamorphcenter.com/products/first-partner-display-set-squirtle-chino
2026-08-12 11:07,ETB · Heroes Ascendentes · EN,TodoHits,ETB Ascended Heroes | Elite Trainer Box | POKÉMON | Inglés,"100,00 €",False,https://todohits.com/products/etb-ascended-heroes-elite-trainer-box-pokemon-ingles
2026-08-12 11:32,EX Box · Heroes Ascendentes · ES,CardZone,Caja Mega EX Box Héroes Ascendentes - Español,"35,95 €",True,https://cardzone.es/products/caja-mega-ex-box-heroes-ascendentes-espanol
2026-08-12 12:17,Coleccion Ilustracion · First Partner Serie 3 · ES,TodoHits,[Reserva] First partner Series 3 Illustration Collection | POKÉMON | Español (Primer Compañero),"41,00 €",False,https://todohits.com/products/first-partner-series-3-illustration-collection-pokemon-espanol-primer-companero
2026-08-12 12:17,Coleccion Ilustracion · First Partner Serie 2 · CHINO,TodoHits,First partner Series 2 Illustration Collection | POKÉMON | Chino,"21,00 €",False,https://todohits.com/products/first-partner-series-2-illustration-collection-pokemon-chino
2026-08-12 12:17,Mini Lata · Heroes Ascendentes · ES,TodoHits,Mini Lata Héroes Ascendentes | POKÉMON | Español,"21,00 €",False,https://todohits.com/products/mini-tin-heroes-ascendentes-pokemon-espanol
2026-08-12 12:17,Blister · Heroes Ascendentes · ES,TodoHits,Blister 2 Sobres Héroes Ascendentes | POKÉMON | Español,"21,00 €",False,https://todohits.com/products/blister-2-sobres-heroes-ascendentes-pokemon-espanol
2026-08-12 12:17,ETB · Heroes Ascendentes · EN,TodoHits,ETB Ascended Heroes | Elite Trainer Box | POKÉMON | Inglés,"101,00 €",False,https://todohits.com/products/etb-ascended-heroes-elite-trainer-box-pokemon-ingles
2026-08-12 12:17,ETB · Heroes Ascendentes · ES,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"707,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-12 12:17,Tech Sticker · Heroes Ascendentes · EN,JJCOLLECTION,Pokémon TCG - Tech Sticker Collection Ascended Heroes (Español & ingles),"28,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-tech-sticker-collection-ascended-heroes-espanol-ingles
2026-08-12 13:12,Booster Bundle · Heroes Ascendentes · ES,TodoHits,[Mini golpe] Booster Bundle Heroes Ascendentes | POKÉMON | Español,"54,00 €",False,https://todohits.com/products/booster-bundle-heroes-ascendentes-pokemon-espanol
2026-08-12 13:12,ETB · Heroes Ascendentes · ES,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"708,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-12 15:16,Coleccion Ilustracion · First Partner Serie 2 · CHINO,TodoHits,First partner Series 2 Illustration Collection | POKÉMON | Chino,"20,00 €",False,https://todohits.com/products/first-partner-series-2-illustration-collection-pokemon-chino
2026-08-12 15:16,Booster Bundle · Heroes Ascendentes · ES,TodoHits,[Mini golpe] Booster Bundle Heroes Ascendentes | POKÉMON | Español,"53,00 €",False,https://todohits.com/products/booster-bundle-heroes-ascendentes-pokemon-espanol
2026-08-12 15:16,Mini Lata · Heroes Ascendentes · ES,TodoHits,Mini Lata Héroes Ascendentes | POKÉMON | Español,"20,00 €",False,https://todohits.com/products/mini-tin-heroes-ascendentes-pokemon-espanol
2026-08-12 15:16,Blister · Heroes Ascendentes · ES,TodoHits,Blister 2 Sobres Héroes Ascendentes | POKÉMON | Español,"20,00 €",False,https://todohits.com/products/blister-2-sobres-heroes-ascendentes-pokemon-espanol
2026-08-12 15:16,ETB · Heroes Ascendentes · ES,JJCOLLECTION,Pokémon TCG - Case X10 ETB Ascended Heroes (Español),"707,00 €",False,https://www.jjcollection.es/products/pokemon-tcg-case-x10-etb-ascended-heroes-espanol
2026-08-12 16:10,Coleccion Ilustracion · First Partner S2 · ES,The Card Station,Colección Ilustración · Primer Compañero · serie 2 | Pokémon TCG,"29,95 €",True,https://thecardstation.es/product/coleccion-ilustracion-%c2%b7-primer-companero-%c2%b7-serie-2-pokemon-tcg/
